Word,Dustin's Hand Date,My Hand Date,Concensus,Description of Date,Note,Exclusion Reason
cinteir/centir,"4,6","5,6","4,6",After Syncope,Change Irish stem to /kent@r/; /nt/ is made legal by syncope.,
Cheruphín,-,-,-,,EXCLUDED,Hebrew
Iruphín,-,-,-,,EXCLUDED,Hebrew
circunflex,"5,6","5,6","5,6",After Syncope,/nf/ only allowed after syncope. ,
colum(m),"3,6","0,6","3,6",,,
com(m)an,"3,4","2,3","3,4","After Harm, Before Com",,
comparait,"2,4/5,6",,"5,6",,"comparait, posit, infinit, superlait, optait, (Irish stem: indid-it). Shortening is not real - or in otherwords, it is real in whichever word it originally applied to (e.g. opt-ait), and then the suffix was applied to other words where the shortening appears anomalous.",
Constantinopoil,"5,6","5,6","5,6",After Syncope,,
consal,"5,6","4,6","4,6",,,
cosm-aid,"3,5","0,5","3,5",Before Syncope,Shortening of o: to o.,
ciclas-tae,"5,6/3,6","2,6","3,6",After Harm,,
dammain,?,?,"0,6",After Lenition,Change Latin stem to damnum,
derbens-tae,?,"0,5 / 5,6 (= 0,6?)","4,6",Either Before or After Syncope,"It is essentially impossible to tell when this was borrowed. The form /derbensX/ would have become /derbnsX/ by syncope and the /bns/ cluster would have been resolved to /b@ns/ by insertion of epenthetic vowel. The only requirement is that the word is borrowed when /ns/ is possible. If that is a post-syncope trait, then it is after syncope.",
deutornim,"5,6",?,"5,6",,,
diaithir,"0,2 / 5,6",?,-,,EXCLUDE,
dict-atóir,"5,6","3,6","5,6",After Comp,?,
